##
## Parameters for 120Sn
##
## Level density
##
a                50 120  14.34929
aadjust          50 120   1.00000
gammald          50 120   0.13152
pair             50 120   0.00000
Pshift           50 120   1.05429   0
Pshiftadjust     50 120   0.00000   0
deltaW           50 120   0.88980   0
Ntop             50 120  21   0
Nlow             50 120   6   0
s2adjust         50 120   1.00000   0
ctable           50 120   0.00000   0
ptable           50 120   0.00000   0
ctableadjust     50 120   0.00000   0
ptableadjust     50 120   0.00000   0
D0               50 120 9.00000E-02
g                50 120   8.00000
gp               50 120   3.33333
gn               50 120   4.66667
gnadjust         50 120   1.00000
gpadjust         50 120   1.00000
gadjust          50 120   1.00000
##
## Gamma-ray
##
gamgam           50 120   0.10500
gamgamadjust     50 120   1.00000
etable           50 120   0.00000 E1
ftable           50 120   1.00000 E1
wtable           50 120   0.97800 E1
etableadjust     50 120   0.00000 E1
ftableadjust     50 120   1.00000 E1
wtableadjust     50 120   1.00000 E1
upbendc          50 120 3.50000E-08 M1
sgr              50 120   1.621 M1
egr              50 120   8.105 M1
ggr              50 120   4.000 M1
sgradjust        50 120   1.000 M1
egradjust        50 120   1.000 M1
ggradjust        50 120   1.000 M1
etable           50 120   0.00000 E2
ftable           50 120   1.00000 E2
wtable           50 120   1.00000 E2
etableadjust     50 120   0.00000 E2
ftableadjust     50 120   1.00000 E2
wtableadjust     50 120   1.00000 E2
upbendc          50 120 0.00000E+00 M2
sgr              50 120   0.001 M2
egr              50 120   8.105 M2
ggr              50 120   4.000 M2
sgradjust        50 120   1.000 M2
egradjust        50 120   1.000 M2
ggradjust        50 120   1.000 M2
##--------------------------------------------
##
## Parameters for 119Sn
##
## Level density
##
a                50 119  15.78428
aadjust          50 119   1.00000
gammald          50 119   0.13189
pair             50 119   1.10004
Pshift           50 119   1.07391   0
Pshiftadjust     50 119   0.00000   0
deltaW           50 119   1.47018   0
Ntop             50 119  15   0
Nlow             50 119   8   0
s2adjust         50 119   1.00000   0
ctable           50 119   0.00000   0
ptable           50 119   0.00000   0
ctableadjust     50 119   0.00000   0
ptableadjust     50 119   0.00000   0
D0               50 119 4.80000E-01
g                50 119   7.93333
gp               50 119   3.33333
gn               50 119   4.60000
gnadjust         50 119   1.00000
gpadjust         50 119   1.00000
gadjust          50 119   1.00000
##
## Gamma-ray
##
gamgam           50 119   0.10600
gamgamadjust     50 119   1.00000
etable           50 119   0.00000 E1
ftable           50 119   1.00000 E1
wtable           50 119   0.97800 E1
etableadjust     50 119   0.00000 E1
ftableadjust     50 119   1.00000 E1
wtableadjust     50 119   1.00000 E1
upbendc          50 119 3.50000E-08 M1
sgr              50 119   1.610 M1
egr              50 119   8.116 M1
ggr              50 119   4.000 M1
sgradjust        50 119   1.000 M1
egradjust        50 119   1.000 M1
ggradjust        50 119   1.000 M1
etable           50 119   0.00000 E2
ftable           50 119   1.00000 E2
wtable           50 119   1.00000 E2
etableadjust     50 119   0.00000 E2
ftableadjust     50 119   1.00000 E2
wtableadjust     50 119   1.00000 E2
